California - 9th District,DEM,Jerry McNerney,"106,256",57.60%,REP,Tony Amador,"78,121",42.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 10th District,REP,Jeff Denham,"110,659",52.40%,DEM,Michael Eggman,"100,646",47.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 11th District,DEM,Mark DeSaulnier,"194,345",71.80%,REP,Roger Petersen,"76,473",28.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 12th District,DEM,Nancy Pelosi,"250,378",81%,Other,Preston Picus,"58,577",19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 13th District,DEM,Barbara Lee,"277,390",90.70%,REP,Sue Caro,"28,413",9.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 14th District,DEM,Jackie Speier,"213,612",80.90%,REP,Angel Cardenas,"50,485",19.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 15th District,DEM,Eric Swalwell,"188,179",73.80%,REP,Danny Turner,"66,959",26.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 16th District,DEM,Jim Costa,"72,111",57.80%,REP,Johnny Tacherra,"52,570",42.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 17th District,DEM,Ro Khanna,"135,607",61.10%,DEM,Mike Honda,"86,505",38.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 18th District,DEM,Anna Eshoo,"220,139",71.20%,REP,Richard Fox,"88,907",28.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 19th District,DEM,Zoe Lofgren,"171,688",74%,REP,Burt Lancaster,"60,420",26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 20th District,DEM,Jimmy Panetta,"144,870",70.60%,REP,Casey Lucius,"60,324",29.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
