California - 7th District,DEM,Ami Bera,"92,394",50.40%,REP,Doug Ose,"90,962",49.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 8th District,REP,Paul Cook,"74,678",67.80%,DEM,Bob Conaway,"35,414",32.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 9th District,DEM,Jerry McNerney,"46,762",52.20%,REP,Tony Amador,"42,783",47.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 10th District,REP,Jeff Denham,"62,750",56.40%,DEM,Michael Eggman,"48,510",43.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 11th District,DEM,Mark DeSaulnier,"106,989",66.90%,REP,Tue Phan,"53,023",33.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 12th District,DEM,Nancy Pelosi,"150,390",83.10%,REP,John Dennis,"30,485",16.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 13th District,DEM,Barbara Lee,"166,182",88.40%,REP,Dakin Sundeen,"21,756",11.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 14th District,DEM,Jackie Speier,"89,009",76.20%,REP,Robin Chew,"27,806",23.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 15th District,DEM,Eric Swalwell,"98,511",69.80%,REP,Hugh Bussell,"42,556",30.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 16th District,DEM,Jim Costa,"46,245",50.70%,REP,Johnny Tacherra,"44,926",49.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 17th District,DEM,Mike Honda,"68,001",51.80%,DEM,Ro Khanna,"63,293",48.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 18th District,DEM,Anna Eshoo,"119,532",67.40%,REP,Richard Fox,"57,895",32.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 19th District,DEM,Zoe Lofgren,"82,965",67.50%,DEM,Robert Murray,"39,918",32.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 20th District,DEM,Sam Farr,"77,305",74.30%,Other,Ronald Kabat,"26,682",25.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 21st District,REP,David Valadao,"41,167",58.50%,DEM,Amanda Renteria,"29,244",41.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 22nd District,REP,Devin Nunes,"80,356",72.30%,DEM,Suzanna Aguilera-Marrero,"30,734",27.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 23rd District,REP,Kevin McCarthy,"94,308",75.40%,DEM,Raul Garcia,"30,834",24.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 24th District,DEM,Lois Capps,"97,363",51.70%,REP,Chris Mitchum,"91,103",48.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 25th District,REP,Steve Knight,"53,952",53.40%,REP,Tony Strickland,"47,094",46.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 26th District,DEM,Julia Brownley,"79,848",50.80%,REP,Jeff Gorell,"77,478",49.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 27th District,DEM,Judy Chu,"67,884",58.90%,REP,Jack Orswell,"47,443",41.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 28th District,DEM,Adam Schiff,"77,761",76%,Other,Steve Stokes,"24,513",24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 29th District,DEM,Tony Cardenas,"41,419",74.20%,REP,William Leader,"14,418",25.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 30th District,DEM,Brad Sherman,"71,736",65%,REP,Mark Reed,"38,626",35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 31st District,DEM,Pete Aguilar,"48,960",51.40%,REP,Paul Chabot,"46,362",48.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 32nd District,DEM,Grace Napolitano,"44,504",59.30%,REP,Arturo Alas,"30,518",40.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 33rd District,DEM,Ted Lieu,"93,544",58.60%,REP,Elan Carr,"65,981",41.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 34th District,DEM,Xavier Becerra,"37,389",73.10%,DEM,Adrienne Edwards,"13,758",26.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
