California - 27th District,DEM,Judy Chu,"134,239",63.30%,REP,Jack Orswell,"77,817",36.70%
California - 28th District,DEM,Adam Schiff,"154,348",75.70%,REP,Phil Jennerjahn,"49,501",24.30%
California - 29th District,DEM,Tony Cardenas,"86,848",74%,Other,David Hernandez,"30,463",26%
California - 30th District,DEM,Brad Sherman,"117,374",60.40%,DEM,Howard Berman,"77,003",39.60%
California - 31st District,REP,Gary Miller,"82,212",55.20%,REP,Bob Dutton,"66,603",44.80%
California - 32nd District,DEM,Grace Napolitano,"105,219",64.90%,REP,David Miller,"56,994",35.10%
California - 33rd District,DEM,Henry Waxman,"142,142",53.20%,Other,Bill Bloomfield,"124,881",46.80%
California - 34th District,DEM,Xavier Becerra,"94,835",85.40%,REP,Stephen Smith,"16,171",14.60%
California - 35th District,DEM,Gloria McLeod,"72,562",55.90%,DEM,Joe Baca,"57,304",44.10%
California - 36th District,DEM,Raul Ruiz,"98,843",51.90%,REP,Mary Bono Mack,"91,507",48.10%
California - 37th District,DEM,Karen Bass,"162,856",86.30%,REP,Morgan Osborne,"25,925",13.70%
California - 38th District,DEM,Linda Sanchez,"124,503",66.70%,REP,Benjamin Campos,"62,041",33.30%
California - 39th District,REP,Ed Royce,"135,261",58.80%,DEM,Jay Chen,"94,683",41.20%
California - 40th District,DEM,Lucille Roybal-Allard,"62,640",59.60%,DEM,David Sanchez,"42,472",40.40%
California - 41st District,DEM,Mark Takano,"89,599",57.60%,REP,John Tavaglione,"65,990",42.40%
California - 42nd District,REP,Ken Calvert,"117,407",61.10%,DEM,Michael Williamson,"74,776",38.90%
California - 43rd District,DEM,Maxine Waters,"114,887",70.40%,DEM,Bob Flores,"48,271",29.60%
California - 44th District,DEM,Janice Hahn,"82,577",60.10%,DEM,Laura Richardson,"54,852",39.90%
California - 45th District,REP,John Campbell,"161,469",59.10%,DEM,Sukhee Kang,"111,837",40.90%
California - 46th District,DEM,Loretta Sanchez,"80,605",61.80%,REP,Jerry Hayden,"49,814",38.20%
California - 47th District,DEM,Alan Lowenthal,"111,529",55.30%,REP,Gary Delong,"90,060",44.70%
California - 48th District,REP,Dana Rohrabacher,"164,244",61.30%,DEM,Ron Varasteh,"103,547",38.70%
California - 49th District,REP,Darrell Issa,"139,127",58.80%,DEM,Jerry Tetalman,"97,454",41.20%
California - 50th District,REP,Duncan Hunter,"150,369",68.20%,DEM,David Secor,"70,228",31.80%
California - 51st District,DEM,Juan Vargas,"85,672",70%,REP,Michael Crimmins,"36,649",30%
California - 52nd District,DEM,Scott Peters,"124,746",50.50%,REP,Brian Bilbray,"122,086",49.50%
 California - 53rd District,DEM,Susan Davis,"135,014",60.60%,REP,Nick Popaditch,"87,950",39.40%
Colorado - 1st District,DEM,Diana DeGette,"225,138",68.10%,REP,Danny Stroud,"89,297",27%,Other,Frank Atwood,"11,623",3.50%,Other,Gary Swing,"4,422",1.30%
Colorado - 2nd District,DEM,Jared Polis,"222,367",56%,REP,Kevin Lundberg,"153,305",38.60%,Other,Randy Luallin,"12,376",3.10%,Other,Susan Hall,"9,346",2.40%
Colorado - 3rd District,REP,Scott Tipton,"179,745",53.50%,DEM,Sal Pace,"138,242",41.10%,Other,Tisha Casida,"10,538",3.10%,Other,Gregory Gilman,"7,758",2.30%
Colorado - 4th District,REP,Cory Gardner,"189,757",58.60%,DEM,Brandon Shaffer,"118,920",36.70%,Other,Josh Gilliland,"9,776",3%,Other,Doug Aden,"5,423",1.70%
Colorado - 5th District,REP,Doug Lamborn,"191,198",65.30%,Other,Dave Anderson,"50,876",17.40%,Other,Jim Pirtle,"21,373",7.30%,Other,Misha Luzov,"17,218",5.90%,Other,Kenneth Harvell,"12,324",4.20%
Colorado - 6th District,REP,Mike Coffman,"150,587",48.70%,DEM,Joe Miklosi,"139,439",45.10%,Other,Kathy Polhemus,"11,901",3.80%,Other,Patrick Provost,"7,465",2.40%
Colorado - 7th District,DEM,Ed Perlmutter,"171,874",53.30%,REP,Joe Coors,"132,727",41.20%,Other,Douglas Campbell,"9,517",3%,Other,Buck Bailey,"8,404",2.60%
Connecticut - 1st District,DEM,John Larson,"203,159",69.60%,REP,John Decker,"81,246",27.80%,Other,Michael DeRosa,"5,387",1.80%,Other,Matthew Corey,"2,270",0.80%
Connecticut - 2nd District,DEM,Joe Courtney,"204,490",68.30%,REP,Paul Formica,"87,715",29.30%,Other,Colin Bennett,"3,645",1.20%,Other,Daniel Reale,"3,520",1.20%
Connecticut - 3rd District,DEM,Rosa DeLauro,"215,702",74.60%,REP,Wayne Winsley,"73,633",25.40%
Connecticut - 4th District,DEM,Jim Himes,"171,403",59.80%,REP,Steve Obsitnik,"115,052",40.20%
